web-scraper-order,web-scraper-start-url,text,film
"1579873300-79","https://www.teenvogue.com/gallery/best-harry-potter-quotes","""I think we've outgrown full-time education ... Time to test our talents in the real world, d'you reckon?,"" — Fred Weasley, Harry Potter and the Order of the Phoenix",""
"1579873300-105","https://www.teenvogue.com/gallery/best-harry-potter-quotes","""Not my daughter, you b*tch!"" ― Molly Weasley, Harry Potter and the Deathly Hallows",""
"1579873300-86","https://www.teenvogue.com/gallery/best-harry-potter-quotes","","Harry Potter and the Order of the Phoenix"
"1579873300-75","https://www.teenvogue.com/gallery/best-harry-potter-quotes","“Things we lose have a way of coming back to us in the end, if not always in the way we expect.”  ― Luna Lovegood, Harry Potter and the Order of the Phoenix.",""
"1579873300-69","https://www.teenvogue.com/gallery/best-harry-potter-quotes","""If you want to know what a man’s like, take a good look at how he treats his inferiors, not his equals."" — Sirius Black, Harry Potter and the Goblet of Fire",""
"1579873300-108","https://www.teenvogue.com/gallery/best-harry-potter-quotes","","Harry Potter and the Deathly Hallows"
"1579873300-42","https://www.teenvogue.com/gallery/best-harry-potter-quotes","","Harry Potter and the Sorcerer's Stone"
"1579873300-48","https://www.teenvogue.com/gallery/best-harry-potter-quotes","","Harry Potter and the Sorcerer's Stone"
"1579873300-99","https://www.teenvogue.com/gallery/best-harry-potter-quotes","“‘He must have known I'd run out on you.’ ‘No,’ Harry corrected him. ‘He must've always known you'd always want to come back.’"" — Harry Potter and the Deathly Hallows",""
"1579873300-92","https://www.teenvogue.com/gallery/best-harry-potter-quotes","","Harry Potter and the Order of the Phoenix"
"1579873300-58","https://www.teenvogue.com/gallery/best-harry-potter-quotes","","Harry Potter and the Chamber of Secrets"
"1579873300-56","https://www.teenvogue.com/gallery/best-harry-potter-quotes","","Harry Potter and the Sorcerer's Stone"
"1579873300-50","https://www.teenvogue.com/gallery/best-harry-potter-quotes","","Harry Potter and the Sorcerer's Stone"
